,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
51,George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,32,0,6267,0,2,2,0.0,0,-31,0,31,40,False,0
52,Vitor de Oliveira Nunes dos Reis,DEF,Man City,0.0,0,0,0,0,0.0,733,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,1482,0,2,5,0.0,0,22,106,84,45,True,0
53,Sávio 'Savinho' Moreira de Oliveira,MID,Man City,0.0,0,0,3,0,2.3,571,0.01,0.01,0.0,0.13,316,0,0,0.4,2.0,2025-04-12T11:30:00Z,8,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,403798,0,2,5,0.0,1,-6330,31365,37695,62,True,0
54,Emerson Palmieri dos Santos,DEF,West Ham,0.0,0,0,0,0,0.0,520,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,32,0,62269,0,1,2,0.0,0,-1826,293,2119,44,False,0
55,Abdoulaye Doucouré,MID,Everton,0.0,0,3,33,1,29.3,217,0.08,0.41,0.33,0.52,318,0,1,9.6,40.8,2025-04-12T14:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,32,0,38756,1,1,0,26.0,10,-3903,1608,5511,51,False,1
56,Alfie Pond,DEF,Wolves,0.0,0,0,0,0,0.0,664,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,89032,0,2,4,0.0,0,-1772,469,2241,39,True,0
57,José Malheiro de Sá,GK,Wolves,0.0,0,0,2,0,0.0,554,0.0,0.0,0.0,1.96,320,2,0,1.4,13.8,2025-04-13T13:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,32,2,342023,1,2,4,0.0,1,-13751,4325,18076,44,True,0
58,Woyo Coulibaly,DEF,Leicester,0.0,0,0,0,0,0.0,726,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,2140,0,2,2,0.0,0,21,129,108,40,False,0
59,Alexander Isak,FWD,Newcastle,0.0,1,0,20,0,15.8,401,0.2,0.55,0.35,0.37,317,1,0,6.9,22.0,2025-04-13T15:30:00Z,77,0,0,0,0,0,0,0,False,14,0,0,0,0,32,0,7116302,1,1,4,31.0,5,288421,326479,38058,95,True,0
60,Alexander Isak,FWD,Newcastle,0.0,0,0,24,1,2.1,401,0.0,0.9,0.9,1.68,289,0,1,9.0,34.0,2025-04-16T18:30:00Z,71,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,7116302,1,0,5,54.0,6,288421,326479,38058,95,True,0
61,Yves Bissouma,MID,Spurs,0.0,0,0,6,0,3.8,482,0.01,0.04,0.03,0.94,320,2,0,1.9,8.0,2025-04-13T13:00:00Z,54,0,0,0,0,0,0,0,False,20,0,0,0,0,32,0,27411,1,2,4,7.0,0,-133,142,275,48,False,1
62,Conor Gallagher,MID,Chelsea,0.0,0,0,0,0,0.0,169,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,14859,0,2,2,0.0,0,-14,0,14,59,True,0
63,Philip Billing,MID,Bournemouth,0.0,0,0,0,0,0.0,76,0.0,0.0,0.0,0.0,312,0,0,0.0,0.0,2025-04-14T19:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,4089,0,0,1,0.0,0,-18,0,18,48,True,0
64,Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0.0,0,0,0,0,0.0,548,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,10529,0,2,4,0.0,0,-389,79,468,53,True,0
65,Brajan Gruda,MID,Brighton,0.0,0,0,0,0,0.4,595,0.0,0.09,0.09,0.5,313,0,0,0.1,0.0,2025-04-12T14:00:00Z,8,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,2993,0,2,2,4.0,1,30,76,46,54,True,0
66,Rodrigo 'Rodri' Hernandez,MID,Man City,0.0,0,0,0,0,0.0,360,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,86603,0,2,5,0.0,0,-25,93,118,62,True,0
67,Đorđe Petrović,GK,Chelsea,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,17177,0,2,2,0.0,0,-39,0,39,44,True,0
68,Justin Devenny,MID,Crystal Palace,0.0,0,0,3,0,10.8,645,0.06,0.06,0.0,0.07,316,0,0,1.3,1.8,2025-04-12T11:30:00Z,10,0,0,0,0,0,0,0,False,13,0,0,0,0,32,0,9760,0,2,5,0.0,1,-255,148,403,45,False,0
69,Justin Devenny,MID,Crystal Palace,0.0,0,0,2,0,0.8,645,0.01,0.01,0.0,0.06,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,5,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,9760,0,0,5,0.0,1,-255,148,403,45,False,0
70,Craig Dawson,DEF,Wolves,0.0,0,0,0,0,0.0,542,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,14803,0,2,4,0.0,0,-167,40,207,42,True,0
71,Jordan Ayew,MID,Leicester,0.0,0,0,0,0,0.0,192,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,18038,0,2,2,0.0,0,32,281,249,51,False,0
72,Marcos Senesi,DEF,Bournemouth,0.0,0,0,1,0,0.0,79,0.0,0.0,0.0,0.86,312,0,0,0.3,3.4,2025-04-14T19:00:00Z,45,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,31948,1,0,1,0.0,0,320,774,454,46,True,1
73,Genesis Antwi,DEF,Chelsea,0.0,0,0,0,0,0.0,787,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,193,0,2,2,0.0,0,13,26,13,40,True,0
74,Kiernan Dewsbury-Hall,MID,Chelsea,0.0,0,0,0,0,0.0,166,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,12646,0,2,2,0.0,0,-6,79,85,55,True,0
75,Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,32,0,888,0,3,0,0.0,0,-4,0,4,40,False,0
76,João Cavaco Cancelo,DEF,Man City,0.0,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,22245,0,2,5,0.0,0,-19,0,19,53,True,0
77,Maxwel Cornet,MID,Southampton,0.0,0,0,0,0,0.0,515,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,32,0,2188,0,3,0,0.0,0,-7,0,7,47,True,0
78,Jefferson Lerma Solís,MID,Crystal Palace,0.0,0,0,14,0,3.3,206,0.0,0.06,0.06,3.81,316,5,0,2.0,12.8,2025-04-12T11:30:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,32,0,9614,1,2,5,4.0,1,2241,2662,421,48,False,1
79,Jefferson Lerma Solís,MID,Crystal Palace,0.0,0,0,8,0,11.6,206,0.06,0.06,0.0,1.32,289,5,0,2.0,4.6,2025-04-16T18:30:00Z,84,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,9614,1,0,5,4.0,1,2241,2662,421,48,False,1
80,Jannik Vestergaard,DEF,Leicester,0.0,0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,187885,0,2,2,0.0,0,-3472,514,3986,39,False,0
81,Jacob Wright,MID,Man City,0.0,0,0,0,0,0.0,671,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,1125,0,2,5,0.0,0,-9,0,9,45,True,0
82,Luke Thomas,DEF,Leicester,0.0,0,0,-2,0,14.3,305,0.06,0.14,0.08,3.7,313,2,0,2.3,1.0,2025-04-12T14:00:00Z,60,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,170820,1,2,2,8.0,1,-3295,408,3703,39,False,0
83,Bruno Borges Fernandes,MID,Man Utd,0.0,0,0,16,0,28.7,366,0.06,0.06,0.0,2.17,317,4,0,4.4,13.4,2025-04-13T15:30:00Z,81,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,2084336,1,1,4,2.0,2,-101904,72654,174558,86,False,0
84,Adam Smith,DEF,Bournemouth,0.0,0,0,21,1,1.3,81,0.01,0.01,0.0,1.07,312,0,0,1.7,15.8,2025-04-14T19:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,13552,1,0,1,0.0,6,5,112,107,44,True,0
85,Miodrag Pivaš,DEF,Newcastle,0.0,0,0,0,0,0.0,574,0.0,0.0,0.0,0.0,317,0,0,0.0,0.0,2025-04-13T15:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,32,0,6447,0,1,4,0.0,0,-35,0,35,40,True,0
86,Miodrag Pivaš,DEF,Newcastle,0.0,0,0,0,0,0.0,574,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,6447,0,0,5,0.0,0,-35,0,35,40,True,0
87,Billy Gilmour,MID,Brighton,0.0,0,0,0,0,0.0,124,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,3783,0,2,2,0.0,0,-4,0,4,50,True,0
88,Rasmus Højlund,FWD,Man Utd,0.0,0,0,0,0,7.4,375,0.02,0.33,0.31,0.93,317,2,0,1.7,0.8,2025-04-13T15:30:00Z,35,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,118623,0,1,4,9.0,1,-4496,1647,6143,69,False,0
89,Callum Wilson,FWD,Newcastle,0.0,0,0,3,0,0.0,421,0.0,0.0,0.0,0.35,317,0,0,0.0,0.0,2025-04-13T15:30:00Z,12,0,0,0,0,0,0,0,False,14,0,0,0,0,32,0,20461,0,1,4,0.0,1,2764,5288,2524,69,True,0
90,Callum Wilson,FWD,Newcastle,0.0,0,0,3,0,0.0,421,0.0,0.0,0.0,0.32,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,18,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,20461,0,0,5,0.0,1,2764,5288,2524,69,True,0
91,Crysencio Summerville,MID,West Ham,0.0,0,0,0,0,0.0,587,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,32,0,33384,0,1,2,0.0,0,-100,43,143,55,False,0
92,Claudio Echeverri,MID,Man City,0.0,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,358,0,2,5,0.0,0,-28,29,57,59,True,0
